projectId,projectName,projectType,state,district,constituency,cost,sanctionDate,expectedCompletionDate,progressPercentage,expenditurePercentage,implementingAgency,latitude,longitude,description,status,recommendationDate,workStartedDate
MPLAD-00101,Road Construction,Road Construction,Uttar Pradesh,Lucknow,Lucknow,33.5,2025-05-12,2025-10-15,100,94.4,Public Works Department,26.8416,81.034,Construction and strengthening of internal road connecting local ward in Lucknow.,COMPLETED,2025-04-18,2025-06-17
MPLAD-00102,Street Lighting,Street Lighting,Maharashtra,Pune,Pune,8.6,2025-06-07,2025-12-02,100,98.6,Municipal Corporation,18.43407,73.96108,Installation of solar street lighting along local roads in Pune.,COMPLETED,2025-04-19,2025-07-10
MPLAD-00103,Street Lighting,Street Lighting,Uttar Pradesh,Ghaziabad,Ghaziabad,8.2,2025-06-15,2025-12-10,100,93.8,Municipal Corporation,28.56638,77.40906,Installation of solar street lighting along local roads in Ghaziabad.,COMPLETED,2025-05-25,2025-07-17
MPLAD-00104,Drinking Water Facility,Drinking Water Facility,Rajasthan,Jaipur,Jaipur Rural,17.3,2025-11-13,2026-04-21,100,94.3,Zilla Parishad,26.82359,75.88818,Installation of a drinking water supply point / hand pump cluster in Jaipur.,COMPLETED,2025-09-22,2025-12-03
MPLAD-00105,Health Sub-Centre,Health Sub-Centre,Bihar,Patna,Patna Sahib,21.2,2026-07-28,2027-03-03,12.4,12.2,District Rural Development Agency,25.69263,85.05644,Construction of a primary health sub-centre building in Patna.,ONGOING,2026-06-18,2026-08-10
MPLAD-00106,Drinking Water Facility,Drinking Water Facility,Madhya Pradesh,Bhopal,Bhopal,10.7,2026-03-09,2026-10-27,76.2,76.5,Public Health Engineering Department,23.35398,77.41093,Installation of a drinking water supply point / hand pump cluster in Bhopal.,ONGOING,2026-01-30,2026-03-19
MPLAD-00107,Drinking Water Facility,Drinking Water Facility,Tamil Nadu,Coimbatore,Coimbatore,15.4,2026-05-06,2027-01-25,50.1,52.7,Zilla Parishad,11.10179,76.88993,Installation of a drinking water supply point / hand pump cluster in Coimbatore.,ONGOING,2026-03-27,2026-05-31
MPLAD-00108,Drinking Water Facility,Drinking Water Facility,Madhya Pradesh,Bhopal,Bhopal,11.7,2025-09-26,2026-03-22,100,97.5,Zilla Parishad,23.3545,77.30703,Installation of a drinking water supply point / hand pump cluster in Bhopal.,COMPLETED,2025-08-12,2025-11-03
MPLAD-00109,Anganwadi Building,Anganwadi Building,Assam,Guwahati,Guwahati,11,2025-10-29,2026-05-20,100,94,Zilla Parishad,26.07293,91.66517,Construction of an anganwadi (childcare centre) building in Guwahati.,COMPLETED,2025-09-05,2025-11-19
MPLAD-00110,Community Hall,Community Hall,Jharkhand,Ranchi,Ranchi,20.2,2025-12-18,2026-08-31,100,96.1,Municipal Corporation,23.28954,85.1927,Construction of a community hall for public gatherings and local events in Ranchi.,COMPLETED,2025-11-24,2026-01-08
MPLAD-00111,Public Park,Public Park,Assam,Guwahati,Guwahati,16.9,2026-01-05,2026-08-19,100,98.9,Municipal Corporation,26.19486,91.66493,Development of a public park with seating and green cover in Guwahati.,COMPLETED,2025-12-05,2026-01-21
MPLAD-00112,Community Hall,Community Hall,Bihar,Patna,Patna Sahib,27.2,2026-06-06,2026-12-19,43.6,40.3,Municipal Corporation,25.6625,85.17416,Construction of a community hall for public gatherings and local events in Patna.,ONGOING,2026-05-11,2026-07-15
MPLAD-00113,Public Park,Public Park,Maharashtra,Pune,Pune,20.5,2026-05-25,2026-12-12,57.5,58.6,Municipal Corporation,18.44335,73.83419,Development of a public park with seating and green cover in Pune.,ONGOING,2026-04-11,2026-07-03
MPLAD-00114,Anganwadi Building,Anganwadi Building,Tamil Nadu,Coimbatore,Coimbatore,11.2,2025-11-24,2026-06-06,100,93.9,Zilla Parishad,11.10834,76.90034,Construction of an anganwadi (childcare centre) building in Coimbatore.,COMPLETED,2025-10-20,2025-12-04
MPLAD-00115,School Toilet Block,School Toilet Block,Bihar,Patna,Patna Sahib,11.8,2026-07-04,2027-03-05,24.8,22.5,District Rural Development Agency,25.5183,85.19345,Construction of a toilet block at government school premises in Patna.,ONGOING,2026-05-20,2026-08-09
MPLAD-00116,Anganwadi Building,Anganwadi Building,Maharashtra,Pune,Pune,8.6,2025-10-03,2026-03-15,100,98,Zilla Parishad,18.45315,73.83346,Construction of an anganwadi (childcare centre) building in Pune.,COMPLETED,2025-08-24,2025-11-04
MPLAD-00117,Road Construction,Road Construction,Rajasthan,Jaipur,Jaipur Rural,23,2025-06-09,2026-02-09,100,94.7,Zilla Parishad,26.85685,75.69405,Construction and strengthening of internal road connecting local ward in Jaipur.,COMPLETED,2025-05-15,2025-07-15
MPLAD-00118,Anganwadi Building,Anganwadi Building,Rajasthan,Jaipur,Jaipur Rural,8.7,2025-10-19,2026-04-04,100,95.1,District Rural Development Agency,26.99269,75.69434,Construction of an anganwadi (childcare centre) building in Jaipur.,COMPLETED,2025-08-26,2025-11-08
MPLAD-00119,School Infrastructure,School Infrastructure,Tamil Nadu,Coimbatore,Coimbatore,14.7,2026-08-09,2027-01-10,27.6,22.6,Public Works Department,11.10526,76.88739,Additional classroom and boundary wall construction at government school in Coimbatore.,ONGOING,2026-06-18,2026-08-21
MPLAD-00120,Public Park,Public Park,Uttar Pradesh,Lucknow,Lucknow,12.8,2026-02-05,2026-09-24,87.2,85.2,Municipal Corporation,26.75782,80.92589,Development of a public park with seating and green cover in Lucknow.,ONGOING,2026-01-04,2026-02-16
MPLAD-00121,Community Hall,Community Hall,Uttar Pradesh,Ghaziabad,Ghaziabad,20.5,2026-06-23,2026-11-28,45.5,40.3,District Rural Development Agency,28.70261,77.4708,Construction of a community hall for public gatherings and local events in Ghaziabad.,ONGOING,2026-05-06,2026-07-27
MPLAD-00122,Drinking Water Facility,Drinking Water Facility,Uttar Pradesh,Ghaziabad,Ghaziabad,11.6,2025-11-02,2026-04-07,100,97.8,Zilla Parishad,28.73932,77.34733,Installation of a drinking water supply point / hand pump cluster in Ghaziabad.,COMPLETED,2025-09-29,2025-11-23
MPLAD-00123,School Infrastructure,School Infrastructure,Maharashtra,Pune,Pune,22.2,2026-02-25,2026-08-31,100,95.3,District Rural Development Agency,18.44764,73.92782,Additional classroom and boundary wall construction at government school in Pune.,COMPLETED,2026-01-22,2026-03-19
MPLAD-00124,Community Hall,Community Hall,Rajasthan,Jaipur,Jaipur Rural,26.8,2025-11-30,2026-08-25,100,93,Municipal Corporation,26.93799,75.79115,Construction of a community hall for public gatherings and local events in Jaipur.,COMPLETED,2025-10-03,2025-12-20
MPLAD-00125,Public Park,Public Park,Tamil Nadu,Coimbatore,Coimbatore,12.8,2026-03-01,2026-10-01,86.1,89.2,Municipal Corporation,10.96258,76.87256,Development of a public park with seating and green cover in Coimbatore.,ONGOING,2026-01-26,2026-03-12
MPLAD-00126,Road Construction,Road Construction,Tamil Nadu,Coimbatore,Coimbatore,28.7,2025-06-18,2026-01-24,100,97.3,Zilla Parishad,10.93772,76.9045,Construction and strengthening of internal road connecting local ward in Coimbatore.,COMPLETED,2025-05-13,2025-07-08
